STATE,FSCS ID,FSCS ID_SEQ,LIBRARY ID,LIBRARY NAME,LIBRARY SYSTEM,PHONE,COUNTY,LOCATION,LOCALE,COUNTY POPULATION,OUTLET TYPE,SQ FEET,BOOKMOBILES,HOURS,WEEKS OPEN,METRO STATUS,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE
AK,AK0001,2,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,ANCHOR POINT PUBLIC LIBRARY,907-235-5692,KENAI PENINSULA,"34020 NORTH FORK ROAD ANCHOR POINT
AK
(59.779667, -151.831591)",43,58059,CE,2880,0,1377,51,NO,0,0,7
AK,AK0002,7,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,ANCHORAGE PUBLIC LIBRARY,907-343-1530,ANCHORAGE,"12001 BUSINESS BOULEVARD #176 EAGLE RIVER
AK
(61.329532, -149.571522)",31,298695,BR,25452,0,2028,52,CC,0,6,0
AK,AK0002,8,AK0002-008,MULDOON LIBRARY,ANCHORAGE PUBLIC LIBRARY,907-343-4223,ANCHORAGE,"1251 MULDOON ROAD
ANCHORAGE, AK
(61.210659, -149.733384)",11,298695,BR,8204,0,1768,52,CC,0,6,0
AK,AK0002,10,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,ANCHORAGE PUBLIC LIBRARY,907-343-4024,ANCHORAGE,"250 EGLOFF DRIVE
GIRDWOOD, AK
(60.960253, -149.134877)",42,298695,BR,3938,0,1716,52,CC,0,6,0
AK,AK0002,11,AK0002-011,Z. J. LOUSSAC LIBRARY,ANCHORAGE PUBLIC LIBRARY,907-343-2892,ANCHORAGE,"3600 DENALI STREET
ANCHORAGE, AK
(61.187512, -149.876735)",11,298695,CE,140000,0,3328,52,CC,0,0,0
AK,AK0002,12,AK0002-012,MOUNTAIN VIEW LIBRARY,ANCHORAGE PUBLIC LIBRARY,907-343-2819,ANCHORAGE,"120 SOUTH BRAGAW STREET
ANCHORAGE, AK
(61.223601, -149.808605)",11,298695,BR,10704,0,1768,52,CC,0,6,0
AK,AK0003,2,AK0003-002,ANDERSON VILLAGE LIBRARY,ANDERSON COMMUNITY LIBRARY,907-582-2628,DENALI,"101 FIRST STREET
ANDERSON, AK
(64.343714, -149.174471)",43,1919,CE,3041,0,460,46,NO,0,0,0
AK,AK0006,2,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,KUSKOKWIM CONSORTIUM LIBRARY,907-543-4516,BETHEL,"420 CHIEF EDDIE HOFFMAN HIGHWAY
BETHEL, AK
(60.791148, -161.771006)",33,17946,CE,3656,0,2880,52,NO,0,0,0
AK,AK0007,2,AK0007-002,BIG LAKE PUBLIC LIBRARY,BIG LAKE PUBLIC LIBRARY,907-861-7635,MATANUSKA-SUSITNA,"3140 SOUTH BIG LAKE ROAD BIG LAKE
AK
(61.547268, -149.818642)",42,101095,CE,6940,0,2652,52,NO,0,0,0
AK,AK0008,2,AK0008-002,CANTWELL COMMUNITY LIBRARY,CANTWELL COMMUNITY LIBRARY,904-768-2372,DENALI,"1 SCHOOL ROAD
CANTWELL, AK
(63.638156, -148.792318)",43,1919,CE,1363,0,720,48,NO,0,0,0
AK,AK0011,2,AK0011-002,CHINIAK PUBLIC LIBRARY,CHINIAK PUBLIC LIBRARY,907-486-3022,KODIAK ISLAND,"43318 SPRUCE WAY
CHINIAK, AK
(57.612147, -152.234562)",43,13889,CE,850,0,195,39,NO,0,0,0
AK,AK0014,2,AK0014-002,COLD BAY PUBLIC LIBRARY,COLD BAY PUBLIC LIBRARY,907-532-2878,ALEUTIANS EAST,"10 BARANOV ROAD
COLD BAY, AK
(55.207101, -162.709803)",43,3341,CE,1100,0,480,48,NO,0,0,0
AK,AK0015,2,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,COOPER LANDING COMMUNITY LIBRARY,907-595-1241,KENAI PENINSULA,"8 BEAN CREEK ROAD COOPER LANDING
AK
(60.494326, -149.805664)",43,58059,CE,1320,0,1092,52,NO,0,0,0
AK,AK0016,2,AK0016-002,CORDOVA PUBLIC LIBRARY,CORDOVA PUBLIC LIBRARY,907-424-6667,VALDEZ-CORDOVA,"622 FIRST STREET
CORDOVA, AK
(60.544295, -145.758562)",43,9362,CE,2800,0,2652,52,NO,0,0,0
