FSCSKEY,ClusterNumber_Service,ClusterNumber_Staff,ClusterNumber_Finance,ClusterNumber_Collection
AK0001,Small_1,Small_1,Small_1,Small_1
AK0002,VeryLarge_1,VeryLarge_1,VeryLarge_1,VeryLarge_1
AK0003,Small_2,Small_1,Small_2,Small_2
AK0006,Medium_1,Medium_1,Medium_1,Medium_1
AK0007,Large_1,Large_1,Large_1,Large_1
AK0008,Small_2,Small_2,Small_2,Small_2
AK0016,Small_3,Small_3,Small_3,Small_2
AK0017,Small_3,Small_3,Small_4,Small_1
AK0018,Small_4,Small_4,Small_2,Small_3
AK0019,Small_5,Small_3,Small_4,Small_1
AK0020,Small_5,Small_3,Small_4,Small_4
AK0021,Small_4,Small_1,Small_1,Small_1
AK0023,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_2
AK0025,Small_4,Small_4,Small_2,Small_2
AK0028,Small_6,Small_2,Small_5,Small_1
AK0029,Small_5,Small_3,Small_3,Small_4
AK0030,Small_4,Small_4,Small_1,Small_4
AK0032,Medium_2,Medium_2,Medium_2,Medium_2
AK0035,VeryLarge_2,VeryLarge_3,VeryLarge_2,VeryLarge_3
AK0037,Small_4,Small_4,Small_2,Small_2
AK0038,Medium_3,Medium_2,Medium_2,Medium_2
AK0039,Large_2,Large_2,Large_2,Large_2
AK0040,Large_2,Large_2,Large_2,Large_3
AK0041,Medium_1,Medium_3,Medium_3,Medium_1
AK0044,Small_4,Small_2,Small_1,Small_2
AK0046,Small_4,Small_5,Small_1,Small_2
AK0047,Small_7,Small_3,Small_3,Small_1
AK0048,Small_4,Small_2,Small_5,Small_1
AK0051,Small_1,Small_4,Small_2,Small_1
AK0052,Medium_4,Medium_4,Medium_4,Medium_3
AK0053,Small_4,Small_4,Small_2,Small_3
AK0055,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
AK0056,Small_4,Small_1,Small_1,Small_1
AK0057,Medium_3,Medium_1,Medium_4,Medium_2
AK0058,Small_4,Small_4,Small_1,Small_2
AK0061,Small_7,Small_1,Small_1,Small_2
