fscskey,service,staff,finance,collection
AK0001,1,1,1,1
AK0002,2,2,2,2
AK0003,1,1,1,1
AK0006,3,3,3,3
AK0007,4,3,4,1
AK0008,1,1,1,1
AK0011,1,1,1,1
AK0014,1,1,1,1
AK0015,1,1,1,1
AK0016,3,4,4,1
AK0017,3,1,1,1
AK0018,1,1,1,4
AK0019,4,3,1,1
AK0020,3,1,1,1
AK0021,1,1,1,1
AK0023,5,5,5,3
AK0025,1,1,1,1
AK0027,3,1,1,1
AK0028,4,1,1,1
AK0029,4,4,4,1
AK0030,1,1,1,1
AK0031,1,1,1,1
AK0032,6,6,4,1
AK0033,1,1,1,1
AK0035,7,7,2,5
AK0037,1,1,1,1
AK0038,4,6,6,1
AK0039,6,6,6,1
AK0040,6,3,6,1
AK0041,3,1,1,1
AK0044,1,1,1,1
AK0046,1,4,1,1
AK0047,4,3,4,1
AK0048,3,1,1,1
AK0051,3,1,1,1
AK0052,3,3,4,1
AK0053,1,1,1,4
AK0055,6,3,6,1
AK0056,1,1,1,1
AK0057,4,3,4,1
AK0058,1,1,1,1
AK0061,3,1,1,1
AK0064,1,1,1,1
AK0065,4,3,4,1
AK0067,6,8,6,1
AK0068,3,1,1,1
AK0069,4,8,4,1
AK0070,3,1,4,1
AK0072,4,4,7,1
AK0073,1,1,1,1
AK0074,1,1,1,1
AK0075,3,1,1,1
AK0077,4,3,4,3
AK0078,6,8,8,1
AK0080,3,4,4,1
AK0081,3,1,4,1
AK0082,1,1,1,4
AK0085,1,1,1,1
AK0087,1,1,1,4
AK0091,1,1,1,4
AK0094,6,6,6,1
AK0095,1,1,1,4
AK0097,3,1,1,4
AK0099,1,1,1,1
AK0100,1,1,1,1
AK0101,3,1,1,4
AK0102,1,1,1,1
AK0103,1,1,1,1
AK0104,1,1,1,1
AK0113,3,1,1,1
AK0114,3,1,1,1
AK0115,4,3,6,1
AK0116,1,1,1,1
AK0117,1,1,1,1
AK0120,1,1,1,1
AK0121,1,1,1,1
AK0122,1,1,1,1
AK0123,1,1,1,4
AK0124,1,1,1,1
AK0126,1,1,1,1
AK0127,3,1,1,1
AK0130,3,1,1,1
AK0134,1,1,1,1
AK0135,3,3,1,1
AK0136,1,1,1,4
AK0137,3,1,1,1
AK0138,1,1,1,1
AK0139,1,1,1,1
AL0001,6,4,4,6
AL0002,3,1,1,6
AL0005,3,1,1,6
AL0006,3,4,1,6
AL0007,4,8,4,6
AL0009,3,4,1,6
AL0010,5,1,1,6
AL0011,4,1,1,6
AL0012,3,1,1,6
AL0013,6,6,6,6
AL0014,4,3,1,6
AL0015,4,4,4,6
AL0016,3,4,1,6
AL0017,3,1,1,6
AL0018,3,1,1,6
AL0019,6,3,4,6
AL0020,5,3,4,6
AL0022,4,3,1,6
AL0024,3,3,1,6
AL0025,3,3,4,6
AL0026,6,3,4,6
AL0029,1,1,1,6
AL0030,1,1,1,6
AL0031,3,1,1,6
AL0032,3,1,1,6
AL0033,3,1,1,6
AL0034,6,9,6,6
AL0035,3,1,1,6
AL0037,6,3,4,6
AL0038,1,4,1,6
AL0039,3,1,1,6
AL0040,3,4,1,6
AL0041,5,8,4,6
AL0042,3,1,4,6
AL0043,3,1,1,6
AL0044,4,4,4,6
AL0045,3,4,1,6
AL0046,3,1,1,6
AL0047,1,1,1,6
AL0048,5,3,1,6
AL0049,4,6,4,6
AL0050,3,3,1,6
AL0051,3,1,1,6
AL0052,5,10,9,6
AL0053,6,8,6,6
AL0054,4,4,1,6
AL0055,3,1,1,6
AL0056,4,4,1,6
AL0057,6,3,4,6
AL0059,5,11,6,6
AL0060,4,4,1,6
AL0061,1,3,1,6
AL0062,5,6,6,7
AL0063,4,3,4,6
AL0064,4,8,4,7
AL0065,4,1,1,6
AL0066,3,1,1,6
AL0067,3,1,1,6
AL0068,3,3,1,6
AL0069,3,1,1,6
AL0070,4,4,1,6
AL0071,3,1,1,6
AL0072,3,1,1,6
AL0073,1,1,1,6
AL0074,3,3,1,6
AL0076,5,9,4,7
AL0077,5,11,6,8
AL0078,4,4,1,6
AL0079,4,3,1,6
AL0080,5,3,1,6
AL0081,6,6,6,8
AL0082,8,6,6,8
AL0083,5,6,6,8
AL0084,4,9,4,6
AL0085,3,1,1,6
AL0086,1,1,1,6
AL0087,4,3,4,6
AL0088,6,9,6,8
AL0090,4,1,1,6
AL0091,5,9,6,6
AL0092,8,10,10,8
AL0093,3,8,1,6
AL0094,4,3,4,6
AL0095,4,9,6,6
AL0096,4,1,1,6
AL0097,9,11,10,3
AL0098,9,12,5,3
AL0099,4,3,1,6
AL0100,4,8,4,6
AL0101,4,8,4,1
AL0102,3,1,1,6
AL0103,4,4,1,6
AL0104,3,1,1,6
AL0105,8,6,7,8
AL0106,9,10,9,5
AL0107,4,4,1,6
AL0108,10,13,11,3
AL0109,6,4,4,7
AL0110,3,1,1,6
AL0111,3,4,1,6
AL0112,4,8,4,6
AL0113,4,4,1,6
AL0114,4,8,4,6
AL0115,6,6,4,3
AL0116,6,4,1,6
AL0117,7,6,6,6
AL0118,3,4,1,6
AL0119,4,3,4,6
AL0121,6,8,4,6
AL0122,3,4,1,6
AL0123,4,3,1,6
AL0124,4,3,4,6
AL0125,4,3,4,6
AL0126,6,6,4,8
AL0127,6,3,4,6
AL0128,4,8,4,6
AL0129,4,7,6,8
AL0130,4,4,4,8
AL0131,4,3,4,8
AL0132,4,3,4,8
AL0133,3,1,1,6
AL0134,4,8,1,8
AL0135,8,10,6,8
AL0136,3,4,1,6
AL0137,8,7,6,8
AL0140,3,1,1,6
AL0141,3,1,1,6
AL0142,3,1,1,6
AL0143,3,1,1,6
