FSCSKEY,ClusterNumber_Service,ClusterNumber_Staff,ClusterNumber_Finance,ClusterNumber_Collection,total_staff_expenditures_mean,total_staff_expenditures_percentile
AK0001,Small_1,Small_1,Small_1,Small_1,27043.20415,0.62
AK0002,VeryLarge_1,VeryLarge_1,VeryLarge_1,VeryLarge_1,8199589.526,38.6
AK0003,Small_2,Small_1,Small_2,Small_2,10494.27888,38.11
AK0006,Medium_1,Medium_1,Medium_1,Medium_1,127746.1305,82.17
AK0007,Large_1,Large_1,Large_1,Large_1,146451.564,97.3
AK0008,Small_2,Small_2,Small_2,Small_2,10494.27888,66.27
AK0016,Small_3,Small_3,Small_3,Small_2,375128.5556,62.96
AK0017,Small_3,Small_3,Small_4,Small_1,84526.15429,85.14
AK0018,Small_4,Small_4,Small_2,Small_3,10494.27888,31.87
AK0019,Small_5,Small_3,Small_4,Small_1,84526.15429,96.86
AK0020,Small_5,Small_3,Small_4,Small_4,84526.15429,59.71
AK0021,Small_4,Small_1,Small_1,Small_1,27043.20415,0.41
AK0023,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_2,2778132.253,89.11
AK0025,Small_4,Small_4,Small_2,Small_2,10494.27888,77.82
AK0028,Small_6,Small_2,Small_5,Small_1,48118.66113,6.64
AK0029,Small_5,Small_3,Small_3,Small_4,375128.5556,66.67
AK0030,Small_4,Small_4,Small_1,Small_4,27043.20415,36.79
AK0032,Medium_2,Medium_2,Medium_2,Medium_2,523288.1529,83.53
AK0035,VeryLarge_2,VeryLarge_3,VeryLarge_2,VeryLarge_3,2778132.253,30.51
AK0037,Small_4,Small_4,Small_2,Small_2,10494.27888,45.29
AK0038,Medium_3,Medium_2,Medium_2,Medium_2,523288.1529,78.82
AK0039,Large_2,Large_2,Large_2,Large_2,607169.192,92.88
AK0040,Large_2,Large_2,Large_2,Large_3,607169.192,90.4
AK0041,Medium_1,Medium_3,Medium_3,Medium_1,55232.52579,88.94
AK0044,Small_4,Small_2,Small_1,Small_2,27043.20415,0.31
AK0046,Small_4,Small_5,Small_1,Small_2,27043.20415,82.69
AK0047,Small_7,Small_3,Small_3,Small_1,375128.5556,33.33
AK0048,Small_4,Small_2,Small_5,Small_1,48118.66113,97.67
AK0051,Small_1,Small_4,Small_2,Small_1,10494.27888,37.98
AK0052,Medium_4,Medium_4,Medium_4,Medium_3,239953.2233,46.53
AK0053,Small_4,Small_4,Small_2,Small_3,10494.27888,8.1
AK0055,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3,713808.1047,33.98
AK0056,Small_4,Small_1,Small_1,Small_1,27043.20415,38.13
AK0057,Medium_3,Medium_1,Medium_4,Medium_2,239953.2233,75.98
AK0058,Small_4,Small_4,Small_1,Small_2,27043.20415,1.66
AK0061,Small_7,Small_1,Small_1,Small_2,27043.20415,1.24
AK0064,Small_4,Small_1,Small_2,Small_1,10494.27888,3.19
AK0065,Medium_3,Medium_1,Medium_4,Medium_4,239953.2233,78.8
AK0067,Medium_3,Medium_5,Medium_2,Medium_5,523288.1529,60.59
AK0068,Small_3,Small_3,Small_4,Small_1,84526.15429,97.71
AK0069,Medium_3,Medium_1,Medium_2,Medium_2,523288.1529,25.88
AK0070,Medium_4,Medium_3,Medium_4,Medium_1,239953.2233,49.72
AK0072,Large_3,Large_1,Large_3,Large_1,356906.6066,16.36
AK0073,Small_2,Small_4,Small_2,Small_2,10494.27888,6.64
AK0074,Small_4,Small_4,Small_1,Small_2,27043.20415,1.45
AK0077,Medium_5,Medium_1,Medium_4,Medium_2,239953.2233,91.56
AK0078,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3,713808.1047,60.6
AK0080,Medium_6,Medium_6,Medium_4,Medium_1,239953.2233,50.66
AK0081,Small_3,Small_3,Small_4,Small_4,84526.15429,98.57
AK0082,Small_4,Small_1,Small_1,Small_3,27043.20415,39.38
AK0087,Small_4,Small_4,Small_1,Small_3,27043.20415,22.69
AK0091,Small_4,Small_4,Small_2,Small_3,10494.27888,61.09
AK0094,Medium_7,Medium_2,Medium_2,Medium_2,523288.1529,73.53
AK0095,Small_4,Small_4,Small_5,Small_3,48118.66113,4.98
AK0097,Small_7,Small_3,Small_4,Small_3,84526.15429,15.43
AK0100,Small_4,Small_4,Small_2,Small_5,10494.27888,28.69
AK0101,Small_8,Small_4,Small_1,Small_3,27043.20415,37.62
AK0102,Small_4,Small_2,Small_2,Small_2,10494.27888,7.3
AK0103,Small_4,Small_1,Small_4,Small_1,84526.15429,88.57
AK0104,Small_4,Small_4,Small_2,Small_5,10494.27888,44.89
AK0113,Small_1,Small_2,Small_1,Small_5,27043.20415,32.54
AK0114,Small_7,Small_4,Small_1,Small_5,27043.20415,1.97
AK0115,Medium_3,Medium_1,Medium_2,Medium_2,523288.1529,40.59
